id,nom,sexe,région,âge,culture
1202,Ndeye Ba,F,Saint-Louis,20,mais
1203,Mamadou Ndiaye Toure,M,Kolda,36,riz
1204,Maty Gassama,F,Louga,40,fruits
1205,Aminata Dieng,F,Tambacounda,31,haricot
1206,Aminata Senghor,F,Fatick,40,manioc
1207,Ndeye Diop,F,Diourbel,42,manioc
1208,Abdoulaye Kouyaté,M,Tambacounda,64,légumes
1209,Babacar Gueye,M,Tambacounda,47,légumes
1210,Sidy Camara,M,Sédhiou,36,autres
1211,Moussa Ndiaye,M,Kolda,36,fruits
1212,Pape Sow,M,Louga,55,igname
1213,Ndeye Camara,F,Diourbel,55,mil
1214,Bineta Kane,F,Tivaouane,55,igname
1215,Mamadou Ndiaye Ndoye,M,Saint-Louis,28,sésame
1216,Rokhaya Koulibaly,F,Dakar,37,coton
1217,Maty Dieng,F,Thiès,23,fruits
1218,Coumba Ndoye,F,Matam,54,arachide
1219,Mamadou Lamine Diakhate,M,Ziguinchor,20,riz
1220,Seynabou Faye,F,Sédhiou,26,mais
1221,Sidy Keita,M,Dakar,21,fruits
1222,Mamadou Faye Sow,M,Kolda,21,arachide
1223,Mamadou Diallo,M,Sédhiou,59,légumes
1224,Aminata Diop,F,Mbour,28,autres
1225,Mamadou Ndiaye Sall,M,Sédhiou,25,légumes
1226,Adama Ba,F,Kolda,25,mais
1227,Mamadou Diop Sarr,M,Matam,45,mil
1228,Maty Gassama,F,Tivaouane,47,fruits
1229,Moussa Thiam,M,Sédhiou,57,riz
1230,Rokhaya Sow,F,Diourbel,62,mil
1231,Maty Kouyaté,F,Thiès,58,manioc
1232,Khady Fofana,F,Dakar,65,haricot
1233,Cheikh Ba,M,Dakar,19,fruits
1234,Moussa Kouyaté,M,Tambacounda,24,haricot
1235,Adama Dabo,F,Tambacounda,25,mais
1236,Coumba Ndoye,F,Ziguinchor,31,fruits
1237,Bineta Senghor,F,Matam,40,autres
1238,Mamadou Ndiaye Sall,M,Louga,28,sésame
1239,Fatou Sow,F,Louga,47,sésame
1240,Ndeye Diop,F,Sédhiou,20,arachide
1241,Khady Cissé,F,Fatick,56,patate douce
1242,helene Sow,F,Tivaouane,28,mais
1243,helene Dabo,F,Diourbel,32,coton
1244,Mamadou Sow Camara,M,Kolda,44,manioc
1245,Abdoulaye Diakhate,M,Ziguinchor,40,autres
1246,Cheikh Gassama,M,Ziguinchor,45,autres
1247,El Hadji Sow,M,Dakar,28,riz
1248,Coumba Fall,F,Dakar,20,autres
1249,Mamadou Sow Dieng,M,Sédhiou,43,mil
1250,Mamadou Boubacar Ndiaye,M,Saint-Louis,61,riz
1251,Sidy Keita,M,Tambacounda,57,haricot
1252,Mamadou Sow Diakhate,M,Fatick,65,riz
1253,Lamine Ndiaye,M,Fatick,28,coton
1254,Lamine Diakhate,M,Tivaouane,52,manioc
1255,Mamadou Sow Faye,M,Kaolack,23,sésame
1256,Mamadou Ndiaye Ba,M,Saint-Louis,44,autres
1257,Fatou Keita,F,Fatick,42,patate douce
1258,Ibrahima Traoré,M,Dakar,28,légumes
1259,Khady Ndoye,F,Sédhiou,58,arachide
1260,Fatou Sow,F,Saint-Louis,51,fruits
1261,Coumba Bamba,F,Ziguinchor,26,patate douce
1262,Khady Keita,F,Tambacounda,34,manioc
1263,Mamadou Boubacar Sy,M,Saint-Louis,41,mil
1264,Babacar Sarr,M,Louga,43,arachide
1265,Abdoulaye Diouf,M,Ziguinchor,49,riz
1266,helene Faye,F,Louga,33,riz
1267,Mamadou Sow Senghor,M,Saint-Louis,29,mil
1268,Maty Diallo,F,Ziguinchor,52,mais
1269,Khady Sy,F,Sédhiou,28,autres
1270,Mamadou Diop Diakhate,M,Diourbel,27,fruits
1271,Ibrahima Kouyaté,M,Dakar,29,coton
1272,Ousmane Kane,M,Fatick,62,mais
1273,helene Fofana,F,Saint-Louis,60,mil
1274,Pape Fofana,M,Kolda,56,mais
1275,Lamine Ndoye,M,Mbour,50,arachide
1276,Aissatou Traoré,F,Thiès,48,haricot
1277,Mariama Kane,F,Kaolack,26,fruits
1278,Aminata Ndiaye,F,Fatick,59,sésame
1279,Moussa Kouyaté,M,Ziguinchor,49,légumes
1280,Adama Kouyaté,F,Louga,46,sésame
1281,El Hadji Fall,M,Kolda,30,sésame
1282,Seynabou Sarr,F,Thiès,33,mil
1283,Mamadou Faye Camara,M,Fatick,28,légumes
1284,Cheikh Camara,M,Tivaouane,46,manioc
1285,Sidy Kane,M,Sédhiou,40,mais
1286,Lamine Toure,M,Mbour,23,igname
1287,Aissatou Faye,F,Saint-Louis,38,patate douce
1288,Adama Kouyaté,F,Saint-Louis,49,sésame
1289,Modou Traoré,M,Fatick,28,igname
1290,Aissatou Sow,F,Diourbel,50,mais
1291,Sidy Sarr,M,Kolda,47,coton
1292,Khady Ndiaye,F,Kaolack,64,mais
1293,Bineta Barry,F,Mbour,59,mil
1294,Mamadou Lamine Keita,M,Sédhiou,55,manioc
1295,Ndeye Diakhate,F,Matam,64,riz
1296,Rokhaya Cissé,F,Dakar,61,autres
1297,Ndeye Ndiaye,F,Louga,58,igname
1298,Seynabou Diagne,F,Thiès,22,mil
1299,Mamadou Diop Koulibaly,M,Dakar,58,manioc
1300,Sidy Fofana,M,Saint-Louis,47,igname
1301,Mamadou Diop Dieng,M,Fatick,62,riz
1302,Sidy Camara,M,Kaolack,44,sésame
1303,Aissatou Diallo,F,Diourbel,35,sésame
1304,Mamadou Boubacar Faye,M,Tivaouane,62,arachide
1305,helene Sarr,F,Louga,38,légumes
1306,Babacar Cissé,M,Matam,41,manioc
1307,Babacar Koulibaly,M,Saint-Louis,31,coton
1308,Pape Sow,M,Ziguinchor,54,patate douce
1309,Modou Faye,M,Kolda,22,mil
1310,Maty Diakhate,F,Tivaouane,35,coton
1311,Rokhaya Sall,F,Kaolack,52,fruits
1312,Bineta Fall,F,Matam,58,sésame
1313,Sidy Keita,M,Tivaouane,40,sésame
1314,Fatou Diouf,F,Tivaouane,33,patate douce
1315,Ousmane Ndoye,M,Matam,20,haricot
1316,helene Traoré,F,Dakar,26,autres
1317,Babacar Diagne,M,Tivaouane,27,igname
1318,Abdoulaye Kouyaté,M,Louga,23,manioc
1319,Sidy Dieng,M,Tivaouane,19,patate douce
1320,helene Diouf,F,Diourbel,45,coton
1321,Rokhaya Camara,F,Kaolack,44,manioc
1322,Seynabou Sall,F,Matam,49,coton
1323,Mamadou Fall,M,Diourbel,19,arachide
1324,Mamadou Sarr Dieng,M,Diourbel,26,mil
1325,Maty Kouyaté,F,Sédhiou,60,patate douce
1326,Mamadou Fofana,M,Matam,49,légumes
1327,Ibrahima Traoré,M,Tambacounda,20,légumes
1328,Khady Diakhate,F,Tambacounda,47,autres
1329,Mamadou Sow Keita,M,Diourbel,19,riz
1330,Mamadou Faye,M,Matam,49,autres
1331,El Hadji Ba,M,Fatick,37,arachide
1332,Adama Diakhate,F,Ziguinchor,41,autres
1333,Abdoulaye Thiam,M,Diourbel,24,manioc
1334,Bineta Ba,F,Tivaouane,34,mais
1335,Mamadou Boubacar Camara,M,Saint-Louis,21,patate douce
1336,Mamadou Ndiaye Dieng,M,Mbour,24,igname
1337,Mariama Senghor,F,Sédhiou,62,légumes
1338,Aminata Cissé,F,Dakar,34,fruits
1339,Maty Dieng,F,Tivaouane,31,haricot
1340,Cheikh Fofana,M,Louga,42,autres
1341,Bineta Diouf,F,Tivaouane,32,légumes
1342,Aminata Traoré,F,Louga,57,patate douce
1343,Adama Bamba,F,Sédhiou,51,légumes
1344,Mamadou Lamine Gueye,M,Dakar,45,riz
1345,Babacar Diallo,M,Saint-Louis,48,coton
1346,Coumba Barry,F,Sédhiou,54,patate douce
1347,Mamadou Boubacar Camara,M,Dakar,37,manioc
1348,Fatou Faye,F,Fatick,42,mais
1349,Mamadou Ndiaye Diallo,M,Fatick,25,coton
1350,Coumba Sall,F,Mbour,59,fruits
1351,Adama Sy,F,Fatick,22,coton
1352,Seynabou Sall,F,Thiès,54,fruits
1353,Mamadou Ndiaye Kane,M,Mbour,55,sésame
1354,Aminata Diallo,F,Thiès,19,fruits
1355,Coumba Camara,F,Louga,20,igname
1356,Mamadou Diop Diallo,M,Mbour,62,patate douce
1357,Aminata Gueye,F,Tambacounda,61,manioc
1358,Mariama Kouyaté,F,Tambacounda,24,haricot
1359,Mamadou Diop Diouf,M,Kaolack,45,igname
1360,helene Senghor,F,Ziguinchor,63,riz
1361,Mamadou Ndiaye Sow,M,Thiès,56,coton
1362,El Hadji Traoré,M,Sédhiou,42,mil
1363,helene Dabo,F,Tambacounda,29,igname
1364,Adama Diakhate,F,Tambacounda,19,igname
1365,Adama Sow,F,Diourbel,28,manioc
1366,Abdoulaye Diouf,M,Thiès,25,fruits
1367,Mariama Keita,F,Thiès,41,coton
1368,Pape Sow,M,Fatick,42,haricot
1369,Abdoulaye Kane,M,Thiès,39,igname
1370,Mariama Toure,F,Matam,35,igname
1371,Khady Kane,F,Thiès,56,igname
1372,Pape Camara,M,Tivaouane,42,mil
1373,Ousmane Keita,M,Ziguinchor,31,fruits
1374,Ibrahima Ndiaye,M,Tivaouane,23,coton
1375,Mamadou Sow Traoré,M,Fatick,58,riz
1376,helene Diakhate,F,Fatick,53,arachide
1377,Cheikh Ndoye,M,Louga,53,mil
1378,Mamadou Boubacar Diouf,M,Kaolack,24,haricot
1379,Maty Diop,F,Diourbel,58,sésame
1380,Ousmane Kane,M,Diourbel,25,haricot
1381,Fatou Thiam,F,Tivaouane,23,sésame
1382,Mamadou Diop Keita,M,Diourbel,18,légumes
1383,Ousmane Camara,M,Diourbel,63,haricot
1384,Cheikh Ba,M,Mbour,24,autres
1385,Mamadou Diop Sy,M,Mbour,38,mil
1386,Rokhaya Traoré,F,Kaolack,34,autres
1387,El Hadji Traoré,M,Matam,49,mil
1388,helene Sarr,F,Mbour,52,coton
1389,Mamadou Diop Koulibaly,M,Kaolack,47,fruits
1390,Abdoulaye Diallo,M,Fatick,55,mais
1391,Adama Ndoye,F,Fatick,45,arachide
1392,Mamadou Lamine Toure,M,Mbour,30,fruits
1393,Rokhaya Sarr,F,Ziguinchor,65,manioc
1394,Khady Kouyaté,F,Thiès,44,manioc
1395,Coumba Camara,F,Sédhiou,59,sésame
1396,Mamadou Sarr Balde,M,Fatick,63,fruits
1397,Fatou Fofana,F,Dakar,59,manioc
1398,Bineta Gueye,F,Ziguinchor,57,haricot
1399,Khady Barry,F,Fatick,36,légumes
1400,Fatou Gassama,F,Tambacounda,58,mil
1401,Ndeye Sow,F,Thiès,57,manioc
1402,helene Ndiaye,F,Dakar,21,haricot
1403,Lamine Dieng,M,Tivaouane,41,haricot
1404,Cheikh Dieng,M,Mbour,30,riz
1405,Adama Sy,F,Saint-Louis,18,arachide
1406,Fatou Koulibaly,F,Diourbel,44,patate douce
1407,Aminata Cissé,F,Dakar,65,manioc
1408,Khady Faye,F,Tambacounda,65,mil
1409,Khady Barry,F,Matam,26,haricot
1410,Seynabou Fall,F,Saint-Louis,34,arachide
1411,Cheikh Balde,M,Thiès,62,manioc
1412,Mamadou Sow Ndiaye,M,Matam,61,haricot
1413,Aissatou Gassama,F,Tambacounda,58,légumes
1414,Babacar Bamba,M,Kolda,44,autres
1415,Adama Cissé,F,Kaolack,27,coton
1416,Mamadou Faye,M,Ziguinchor,63,haricot
1417,Mamadou Diop Cissé,M,Tambacounda,27,sésame
1418,Cheikh Ba,M,Kolda,34,coton
1419,Lamine Bamba,M,Tambacounda,28,légumes
1420,Mamadou Boubacar Kane,M,Tambacounda,49,manioc
1421,Aissatou Dieng,F,Saint-Louis,37,fruits
1422,Seynabou Ndoye,F,Louga,26,coton
1423,El Hadji Sow,M,Saint-Louis,61,autres
1424,Pape Diakhate,M,Fatick,40,riz
1425,Aminata Barry,F,Dakar,55,coton
1426,Sidy Cissé,M,Fatick,32,mil
1427,Fatou Sall,F,Thiès,46,haricot
1428,Ndeye Fofana,F,Dakar,29,arachide
1429,Abdoulaye Sarr,M,Dakar,31,mil
1430,Adama Faye,F,Tivaouane,61,autres
1431,Fatou Thiam,F,Louga,57,patate douce
1432,Khady Gassama,F,Tivaouane,23,riz
1433,Lamine Ndiaye,M,Louga,63,manioc
1434,Mamadou Diop Ndoye,M,Diourbel,58,autres
1435,Rokhaya Diouf,F,Matam,56,patate douce
1436,Mamadou Diop Senghor,M,Mbour,24,riz
1437,Sidy Gassama,M,Tambacounda,50,arachide
1438,Aminata Diop,F,Sédhiou,54,haricot
1439,Maty Diallo,F,Diourbel,47,fruits
1440,Mamadou Sarr Diouf,M,Diourbel,60,manioc
1441,Rokhaya Fofana,F,Tivaouane,55,autres
1442,Mamadou Boubacar Kane,M,Dakar,48,haricot
1443,Aissatou Faye,F,Kaolack,57,arachide
1444,El Hadji Koulibaly,M,Diourbel,48,patate douce
1445,Sidy Camara,M,Thiès,33,sésame
1446,Bineta Dabo,F,Fatick,51,patate douce
1447,Lamine Diop,M,Mbour,41,mais
1448,Ousmane Balde,M,Thiès,60,mais
1449,Maty Fofana,F,Matam,54,fruits
1450,Ousmane Koulibaly,M,Fatick,33,autres
1451,Pape Ndiaye,M,Kolda,31,légumes
1452,Rokhaya Diakhate,F,Dakar,28,autres
1453,Mariama Bamba,F,Tambacounda,43,igname
1454,Mamadou Diop Dieng,M,Diourbel,20,mil
1455,Khady Keita,F,Kolda,50,riz
1456,Abdoulaye Diakhate,M,Kolda,37,patate douce
1457,Mamadou Diop Diallo,M,Kolda,52,légumes
1458,Rokhaya Bamba,F,Mbour,24,arachide
1459,Mamadou Ndiaye Faye,M,Saint-Louis,37,manioc
1460,Coumba Gassama,F,Fatick,39,igname
1461,Coumba Kouyaté,F,Kolda,48,sésame
1462,Ibrahima Sow,M,Diourbel,34,arachide
1463,Maty Sy,F,Ziguinchor,49,manioc
1464,Ibrahima Sow,M,Fatick,32,patate douce
1465,Ndeye Fall,F,Louga,65,autres
1466,Seynabou Barry,F,Mbour,56,igname
1467,Seynabou Camara,F,Thiès,56,légumes
1468,Mamadou Cissé,M,Tambacounda,21,coton
1469,Mamadou Sow Diop,M,Diourbel,23,coton
1470,Pape Gassama,M,Ziguinchor,45,légumes
1471,Fatou Camara,F,Kaolack,61,coton
1472,Mamadou Camara,M,Diourbel,35,coton
1473,Ndeye Ba,F,Diourbel,65,riz
1474,Mamadou Sow Toure,M,Saint-Louis,58,sésame
1475,Ndeye Ndiaye,F,Kolda,41,patate douce
1476,Khady Diallo,F,Matam,52,haricot
1477,Babacar Dieng,M,Ziguinchor,24,arachide
1478,Maty Cissé,F,Thiès,43,mil
1479,Bineta Koulibaly,F,Matam,40,sésame
1480,Rokhaya Faye,F,Matam,48,mil
1481,Rokhaya Senghor,F,Kaolack,22,igname
1482,Aminata Koulibaly,F,Mbour,56,autres
1483,helene Ndoye,F,Tivaouane,64,haricot
1484,Babacar Camara,M,Tambacounda,38,manioc
1485,Khady Sall,F,Kolda,53,sésame
1486,Pape Balde,M,Thiès,49,légumes
1487,Ibrahima Dieng,M,Diourbel,22,mais
1488,Mamadou Faye Senghor,M,Matam,28,mais
1489,Ousmane Traoré,M,Fatick,19,haricot
1490,Rokhaya Balde,F,Tivaouane,35,mais
1491,Mariama Diakhate,F,Thiès,26,arachide
1492,Sidy Sow,M,Tivaouane,29,arachide
1493,Modou Diallo,M,Ziguinchor,46,mil
1494,helene Bamba,F,Tivaouane,62,mil
1495,Mamadou Sow Faye,M,Saint-Louis,56,autres
1496,Mariama Camara,F,Tivaouane,41,manioc
1497,Mamadou Sarr Camara,M,Tivaouane,36,manioc
1498,Lamine Sy,M,Saint-Louis,57,sésame
1499,Ibrahima Camara,M,Diourbel,22,autres
1500,Rokhaya Diallo,F,Matam,41,patate douce
1501,Seynabou Bamba,F,Tambacounda,44,légumes
1502,Mamadou Diop Balde,M,Sédhiou,40,coton
1503,Coumba Diallo,F,Matam,52,haricot
1504,Abdoulaye Keita,M,Saint-Louis,65,manioc
1505,Ousmane Ndoye,M,Thiès,47,haricot
1506,Cheikh Cissé,M,Fatick,36,riz
1507,Khady Keita,F,Thiès,27,fruits
1508,Abdoulaye Diop,M,Saint-Louis,59,autres
1509,Khady Ba,F,Kaolack,31,légumes
1510,Modou Kouyaté,M,Kaolack,65,haricot
1511,Mamadou Boubacar Senghor,M,Dakar,62,sésame
1512,Mamadou Lamine Keita,M,Ziguinchor,49,haricot
1513,Pape Traoré,M,Mbour,24,mais
1514,helene Ba,F,Matam,61,riz
1515,Mamadou Faye Toure,M,Kolda,51,mil
1516,Cheikh Keita,M,Dakar,37,arachide
1517,Ousmane Senghor,M,Thiès,63,riz
1518,Mamadou Lamine Diakhate,M,Kolda,64,légumes
1519,El Hadji Ndiaye,M,Mbour,47,igname
1520,Bineta Diop,F,Tambacounda,46,coton
1521,Mamadou Sow Traoré,M,Diourbel,60,arachide
1522,Moussa Koulibaly,M,Tivaouane,62,manioc
1523,Lamine Faye,M,Thiès,55,autres
1524,Aissatou Diallo,F,Thiès,24,mil
1525,Rokhaya Koulibaly,F,Matam,51,igname
1526,Aminata Sy,F,Matam,51,haricot
1527,Fatou Diallo,F,Tivaouane,37,légumes
1528,Mamadou Diouf,M,Tivaouane,42,mais
1529,helene Keita,F,Dakar,45,arachide
1530,Babacar Gassama,M,Fatick,32,autres
1531,El Hadji Toure,M,Tambacounda,59,légumes
1532,Coumba Bamba,F,Kolda,54,riz
1533,Adama Balde,F,Dakar,46,mais
1534,helene Barry,F,Tivaouane,34,manioc
1535,Mamadou Sarr Sall,M,Tambacounda,47,légumes
1536,Aminata Senghor,F,Dakar,22,patate douce
1537,Adama Diallo,F,Louga,32,haricot
1538,Babacar Diallo,M,Matam,57,sésame
1539,Cheikh Diop,M,Dakar,26,sésame
1540,Modou Thiam,M,Mbour,21,haricot
1541,Lamine Toure,M,Louga,44,fruits
1542,Mamadou Boubacar Sow,M,Mbour,43,légumes
1543,Lamine Kane,M,Tivaouane,50,sésame
1544,Mamadou Diouf,M,Ziguinchor,45,fruits
1545,Mamadou Sow Gueye,M,Diourbel,27,mil
1546,Ndeye Diallo,F,Louga,24,mil
1547,Modou Fall,M,Tambacounda,39,fruits
1548,Aminata Ba,F,Tambacounda,36,mais
1549,Ousmane Sow,M,Sédhiou,63,mais
1550,Lamine Diallo,M,Tivaouane,29,arachide
1551,Mamadou Sarr Toure,M,Kolda,46,autres
1552,Coumba Dabo,F,Saint-Louis,18,fruits
1553,El Hadji Kane,M,Kaolack,36,fruits
1554,Ousmane Cissé,M,Diourbel,59,igname
1555,Ibrahima Fofana,M,Kaolack,29,manioc
1556,Mariama Camara,F,Matam,33,arachide
1557,Abdoulaye Sarr,M,Mbour,27,fruits
1558,Seynabou Balde,F,Dakar,30,mais
1559,Rokhaya Traoré,F,Ziguinchor,42,manioc
1560,Mamadou Faye Senghor,M,Tivaouane,30,légumes
1561,Ndeye Camara,F,Thiès,61,légumes
1562,Mamadou Faye Bamba,M,Louga,27,patate douce
1563,Pape Faye,M,Saint-Louis,65,fruits
1564,Mamadou Sow Fofana,M,Louga,63,haricot
1565,Babacar Fall,M,Sédhiou,54,fruits
1566,Mamadou Ndiaye Sarr,M,Thiès,25,patate douce
1567,Mariama Diagne,F,Ziguinchor,32,igname
1568,Ousmane Dieng,M,Dakar,55,igname
1569,Ndeye Sow,F,Diourbel,37,légumes
1570,Coumba Cissé,F,Sédhiou,29,riz
1571,Fatou Diakhate,F,Ziguinchor,19,manioc
1572,Rokhaya Diagne,F,Thiès,60,haricot
1573,Ndeye Diallo,F,Fatick,39,patate douce
1574,Mamadou Boubacar Cissé,M,Ziguinchor,45,patate douce
1575,Mamadou Boubacar Faye,M,Dakar,50,igname
1576,Mamadou Sarr Cissé,M,Mbour,43,coton
1577,Khady Ba,F,Diourbel,40,coton
1578,Seynabou Sow,F,Saint-Louis,61,coton
1579,El Hadji Diallo,M,Dakar,64,coton
1580,Mamadou Diop Diallo,M,Dakar,35,légumes
1581,Modou Sall,M,Tivaouane,22,sésame
1582,Seynabou Sy,F,Kolda,22,haricot
1583,Mamadou Ndiaye Balde,M,Tivaouane,37,arachide
1584,Maty Ndoye,F,Tambacounda,44,légumes
1585,Maty Kouyaté,F,Matam,54,riz
1586,Aminata Dieng,F,Tivaouane,46,fruits
1587,Mariama Balde,F,Kolda,34,patate douce
1588,Mamadou Faye Sarr,M,Dakar,47,manioc
1589,Ibrahima Ndoye,M,Kaolack,61,igname
1590,El Hadji Ba,M,Tivaouane,49,fruits
1591,Bineta Ndoye,F,Louga,61,manioc
1592,Adama Ba,F,Dakar,59,haricot
1593,helene Kane,F,Sédhiou,56,légumes
1594,Ousmane Gueye,M,Dakar,65,arachide
1595,Mamadou Faye Diouf,M,Ziguinchor,31,sésame
1596,Aminata Sow,F,Thiès,45,arachide
1597,Mamadou Diop Gassama,M,Sédhiou,57,coton
1598,Mamadou Diop Barry,M,Thiès,58,igname
1599,Maty Diakhate,F,Kaolack,26,haricot
1600,Mamadou Boubacar Faye,M,Saint-Louis,27,mais
1601,Ibrahima Sy,M,Matam,65,fruits
1602,Adama Fofana,F,Ziguinchor,23,coton
1603,Seynabou Sarr,F,Louga,29,coton
1604,Mamadou Ba,M,Thiès,62,sésame
1605,Aissatou Diakhate,F,Kaolack,56,sésame
1606,Aminata Kane,F,Mbour,47,sésame
1607,Moussa Kane,M,Louga,50,fruits
1608,Mariama Kouyaté,F,Ziguinchor,37,légumes
1609,Coumba Faye,F,Kaolack,23,coton
1610,Moussa Kouyaté,M,Kolda,59,haricot
1611,Aminata Senghor,F,Dakar,20,patate douce
1612,Aissatou Sy,F,Kaolack,64,mil
1613,Fatou Ndoye,F,Saint-Louis,40,arachide
1614,Mamadou Sow Toure,M,Fatick,50,mais
1615,helene Sow,F,Sédhiou,20,sésame
1616,Lamine Diallo,M,Kaolack,46,autres
1617,Moussa Ndiaye,M,Thiès,19,légumes
1618,Mamadou Sarr Sarr,M,Matam,43,riz
1619,Bineta Dieng,F,Matam,33,mil
1620,Ibrahima Ndoye,M,Saint-Louis,35,autres
1621,Adama Dieng,F,Mbour,59,haricot
1622,Mamadou Diop Cissé,M,Saint-Louis,51,igname
1623,helene Sow,F,Mbour,58,manioc
1624,Cheikh Thiam,M,Diourbel,29,fruits
1625,Mariama Thiam,F,Sédhiou,48,arachide
1626,Mariama Toure,F,Tivaouane,61,légumes
1627,Mamadou Diop Fall,M,Thiès,65,riz
1628,Seynabou Barry,F,Tivaouane,21,arachide
1629,Mamadou Ndiaye Sarr,M,Kolda,23,mais
1630,Mariama Ndoye,F,Sédhiou,22,patate douce
1631,helene Keita,F,Diourbel,57,arachide
1632,Modou Ndoye,M,Kaolack,21,mil
1633,Mamadou Lamine Keita,M,Fatick,33,riz
1634,Mamadou Ndiaye Keita,M,Saint-Louis,50,coton
1635,Aissatou Diallo,F,Kolda,33,autres
1636,Khady Cissé,F,Sédhiou,29,igname
1637,Mamadou Sow Ndiaye,M,Tambacounda,56,autres
1638,Ousmane Diallo,M,Dakar,50,sésame
1639,Adama Camara,F,Kaolack,49,fruits
1640,Sidy Sow,M,Kolda,28,autres
1641,Cheikh Koulibaly,M,Saint-Louis,38,mil
1642,Aissatou Sall,F,Sédhiou,61,autres
1643,Ousmane Senghor,M,Dakar,33,mais
1644,Aissatou Bamba,F,Kaolack,51,patate douce
1645,Fatou Balde,F,Fatick,22,sésame
1646,Mariama Ndiaye,F,Matam,24,autres
1647,Mamadou Lamine Bamba,M,Tambacounda,33,manioc
1648,Aminata Diouf,F,Kaolack,26,haricot
1649,Fatou Diagne,F,Tambacounda,48,fruits
1650,Lamine Diallo,M,Ziguinchor,20,igname
1651,Adama Diagne,F,Fatick,19,coton
1652,Mamadou Ndiaye Bamba,M,Sédhiou,46,mil
1653,Lamine Diallo,M,Saint-Louis,63,arachide
1654,Mamadou Diop Camara,M,Matam,63,arachide
1655,Mamadou Diagne,M,Ziguinchor,42,manioc
1656,Ndeye Balde,F,Louga,34,fruits
1657,Adama Balde,F,Saint-Louis,23,fruits
1658,Moussa Traoré,M,Ziguinchor,18,haricot
1659,Mamadou Boubacar Dabo,M,Tivaouane,32,autres
1660,Khady Diallo,F,Tivaouane,30,sésame
1661,Fatou Gassama,F,Diourbel,64,haricot
1662,Mariama Sow,F,Tambacounda,61,coton
1663,Mamadou Lamine Ba,M,Louga,18,riz
1664,Khady Cissé,F,Saint-Louis,23,légumes
1665,Khady Bamba,F,Thiès,54,arachide
1666,Cheikh Kouyaté,M,Saint-Louis,20,coton
1667,Mamadou Sall,M,Kolda,41,mais
1668,Khady Ndiaye,F,Saint-Louis,20,riz
1669,Mamadou Dieng,M,Ziguinchor,37,fruits
1670,Mariama Dieng,F,Ziguinchor,41,haricot
1671,Adama Camara,F,Mbour,38,riz
1672,El Hadji Camara,M,Thiès,49,mil
1673,Seynabou Toure,F,Mbour,63,fruits
1674,El Hadji Faye,M,Fatick,57,mil
1675,Seynabou Ndoye,F,Dakar,35,légumes
1676,Modou Gassama,M,Sédhiou,40,légumes
1677,Ousmane Camara,M,Kolda,37,manioc
1678,Mamadou Faye Camara,M,Dakar,42,igname
1679,Aissatou Diagne,F,Sédhiou,28,patate douce
1680,Bineta Diagne,F,Tivaouane,62,fruits
1681,Mariama Senghor,F,Dakar,49,mais
1682,Fatou Ndoye,F,Kaolack,60,haricot
1683,Mamadou Diop Ba,M,Tivaouane,23,haricot
1684,Mamadou Lamine Gueye,M,Mbour,43,fruits
1685,Seynabou Ndoye,F,Tivaouane,24,fruits
1686,Ibrahima Fofana,M,Diourbel,63,haricot
1687,Mamadou Faye Thiam,M,Saint-Louis,38,mais
1688,Maty Diagne,F,Kolda,32,manioc
1689,helene Diagne,F,Dakar,34,autres
1690,Coumba Fall,F,Louga,37,haricot
1691,Mamadou Diop Fofana,M,Fatick,42,mil
1692,Adama Kouyaté,F,Dakar,42,fruits
1693,Mamadou Diop Sow,M,Fatick,32,autres
1694,helene Sow,F,Louga,65,mais
1695,Ndeye Faye,F,Dakar,61,autres
1696,Maty Toure,F,Ziguinchor,36,sésame
1697,Aminata Diallo,F,Sédhiou,23,manioc
1698,Bineta Kane,F,Ziguinchor,22,haricot
1699,Mamadou Lamine Koulibaly,M,Kolda,48,manioc
1700,Seynabou Sow,F,Tambacounda,38,mais
1701,Aminata Ba,F,Kolda,27,sésame
1702,Maty Sall,F,Tivaouane,64,patate douce
1703,Coumba Bamba,F,Tivaouane,62,manioc
1704,helene Barry,F,Louga,55,igname
1705,Aminata Camara,F,Saint-Louis,46,autres
1706,Pape Ndoye,M,Kaolack,47,fruits
1707,Mamadou Faye Ndiaye,M,Dakar,61,patate douce
1708,Seynabou Ba,F,Matam,33,riz
1709,Fatou Toure,F,Tambacounda,58,riz
1710,Ousmane Keita,M,Saint-Louis,53,autres
1711,Cheikh Sarr,M,Thiès,49,autres
1712,Fatou Sy,F,Kolda,57,mil
1713,Seynabou Sow,F,Sédhiou,33,igname
1714,Sidy Gassama,M,Louga,20,sésame
1715,Fatou Sow,F,Ziguinchor,23,arachide
1716,Mamadou Faye Faye,M,Ziguinchor,41,riz
1717,Mamadou Sow Senghor,M,Kaolack,23,coton
1718,Coumba Ba,F,Sédhiou,21,patate douce
1719,Lamine Faye,M,Mbour,31,sésame
1720,Moussa Ndoye,M,Dakar,36,sésame
1721,helene Faye,F,Tivaouane,55,mais
1722,Moussa Diagne,M,Louga,44,haricot
1723,Mamadou Sarr Fofana,M,Ziguinchor,53,sésame
1724,Mamadou Faye Dieng,M,Thiès,61,sésame
1725,Maty Gassama,F,Louga,47,riz
1726,Fatou Fofana,F,Mbour,48,manioc
1727,Cheikh Diakhate,M,Tambacounda,51,arachide
1728,Mamadou Faye Dieng,M,Ziguinchor,65,arachide
