id_parcelle,region,departement,superficie_ha,type_culture,rendement_kg_ha,date_semi,date_recolte,quantite_recoltee_kg,temperature_c,precipitations_mm,humidite_%,vent_kmh,type_sol,ph_sol,nutriments,engrais_utilise,quantite_engrais_kg,pesticide_utilise,irrigation,nbre_travaux_sol,id_producteur,nom_producteur,sexe,age,niveau_etude,telephone,cout_total_production,revenu_vente,prix_vente_kg
88,Tambacounda,Tambacounda-dept-2,4.25,Niébé,592.29,2025-05-22,2025-08-21,2517.23,25.0,119.0,29.9,29.1,Humifère,5.65,Potassium,Oui,46.07,Non,Non,3,1088,Isaac Fouquet,Femme,66,Secondaire,0147065486,685704.99,356188.04,141.5
89,Saint-Louis,Saint-Louis-dept-2,7.16,Mil,875.52,2024-08-23,2025-01-30,6268.72,20.2,115.2,85.9,13.5,Humifère,7.82,Azote,Oui,13.83,Oui,Non,3,1089,Adrien Marques,Homme,37,Secondaire,03 85 80 25 52,727632.72,2842551.08,453.45
90,Fatick,Fatick-dept-2,1.38,Maïs,514.13,2024-11-21,2025-03-15,709.5,40.0,30.7,18.5,45.4,Argileux,6.51,"Magnésium, Potassium, Phosphore",Oui,77.98,Oui,Oui,5,1090,Marianne du Gautier,Femme,67,Supérieur,+33 (0)2 53 50 58 78,610938.41,182894.91,257.78
91,Thies,Thies-dept-5,1.9,Maïs,1177.79,2025-01-05,2025-04-11,2237.8,33.5,176.7,41.7,36.6,Argileux,5.69,"Calcium, Phosphore, Potassium",Oui,14.32,Non,Non,1,1091,Martin Roux,Femme,47,Supérieur,0382471127,96657.24,338780.54,151.39
92,Dakar,Dakar-dept-4,9.44,Arachide,771.15,2025-04-21,2025-08-16,7279.66,39.3,237.9,24.1,35.4,Limonneux,7.79,"Potassium, Azote, Calcium",Oui,45.64,Oui,Non,1,1092,Françoise Germain,Femme,42,Primaire,+33 2 51 51 54 82,139108.64,1685022.9,231.47
93,Fatick,Fatick-dept-5,7.29,Arachide,3964.78,2025-01-12,2025-04-25,28903.25,29.0,257.0,69.1,46.0,Sableux,6.78,"Magnésium, Azote",Non,0.0,Non,Non,2,1093,François-Thierry Masse,Femme,66,Aucun,+33 3 51 45 22 19,747181.52,10763859.33,372.41
94,Saint-Louis,Saint-Louis-dept-1,1.73,Maïs,1476.06,2024-10-18,2025-02-14,2553.58,25.5,205.9,39.0,41.9,Limonneux,6.47,Potassium,Non,0.0,Non,Non,2,1094,Gabriel Richard,Femme,41,Supérieur,0582387438,891394.63,262610.17,102.84
95,Fatick,Fatick-dept-4,4.22,Arachide,3954.7,2024-11-24,2025-05-03,16688.83,31.8,166.7,68.5,5.4,Argileux,6.3,Azote,Non,0.0,Non,Non,4,1095,Philippine Robin,Homme,26,Supérieur,0255071235,206725.61,3557057.23,213.14
96,Tambacounda,Tambacounda-dept-5,1.93,Sorgho,3504.39,2024-12-09,2025-03-17,6763.47,32.6,223.9,63.0,5.3,Limonneux,8.44,Magnésium,Oui,17.28,Oui,Oui,1,1096,Gabrielle Grondin,Homme,36,Aucun,+33 4 67 49 22 72,800172.23,2814009.33,416.06
97,Kaolack,Kaolack-dept-2,5.95,Niébé,2326.65,2024-08-29,2024-12-15,13843.57,32.4,261.3,28.2,31.8,Argileux,7.79,"Magnésium, Calcium, Potassium",Oui,28.61,Oui,Non,1,1097,Camille du Jacques,Homme,49,Secondaire,05 18 12 22 59,284482.58,4571146.81,330.2
98,Kaolack,Kaolack-dept-1,9.65,Sorgho,3660.7,2024-11-24,2025-05-16,35325.75,23.6,15.2,78.1,43.7,Humifère,5.68,Azote,Oui,72.83,Oui,Oui,3,1098,Luc Pages,Femme,35,Aucun,0353430744,436524.16,8010467.07,226.76
99,Tambacounda,Tambacounda-dept-2,4.92,Arachide,3435.27,2025-01-28,2025-06-10,16901.53,21.6,111.3,20.4,18.8,Sableux,5.52,"Calcium, Potassium, Azote",Oui,31.97,Oui,Oui,3,1099,Louis Guyot,Homme,44,Aucun,+33 (0)4 90 53 75 10,249633.25,4975979.45,294.41
100,Saint-Louis,Saint-Louis-dept-2,2.98,Riz,2933.05,2024-08-17,2025-01-16,8740.49,38.8,101.4,14.4,7.1,Argileux,6.67,"Calcium, Azote",Non,0.0,Non,Oui,4,1100,Vincent Chauvet,Femme,36,Primaire,+33 (0)7 53 37 23 31,370424.64,4030414.75,461.12
